coin,coin_name,coin_symbol
bitcoin,Bitcoin,BTC
ethereum,Ethereum,ETH
ripple,Ripple,XRP
bitcoin-cash,Bitcoin Cash,BCH
eos,EOS,EOS
litecoin,Litecoin,LTC
cardano,Cardano,ADA
stellar,Stellar,XLM
iota,IOTA,MIOTA
neo,NEO,NEO
monero,Monero,XMR
dash,Dash,DASH
tron,TRON,TRX
nem,NEM,XEM
tether,Tether,USDT
ethereum-classic,Ethereum Classic,ETC
vechain,VeChain,VEN
qtum,Qtum,QTUM
omisego,OmiseGO,OMG
binance-coin,Binance Coin,BNB
icon,ICON,ICX
bitcoin-gold,Bitcoin Gold,BTG
lisk,Lisk,LSK
bitcoin-private,Bitcoin Private,BTCP
zcash,Zcash,ZEC
bytom,Bytom,BTM
nano,Nano,NANO
verge,Verge,XVG
bytecoin-bcn,Bytecoin,BCN
populous,Populous,PPT
steem,Steem,STEEM
bitshares,BitShares,BTS
wanchain,Wanchain,WAN
siacoin,Siacoin,SC
bitcoin-diamond,Bitcoin Diamond,BCD
zilliqa,Zilliqa,ZIL
dogecoin,Dogecoin,DOGE
stratis,Stratis,STRAT
maker,Maker,MKR
digixdao,DigixDAO,DGD
aeternity,Aeternity,AE
waves,Waves,WAVES
status,Status,SNT
0x,0x,ZRX
aion,Aion,AION
rchain,RChain,RHOC
golem-network-tokens,Golem,GNT
ontology,Ontology,ONT
augur,Augur,REP
decred,Decred,DCR
loopring,Loopring,LRC
basic-attention-token,Basic Attention Token,BAT
waltonchain,Waltonchain,WTC
iostoken,IOStoken,IOST
komodo,Komodo,KMD
mixin,Mixin,XIN
ardor,Ardor,ARDR
hshare,Hshare,HSR
kucoin-shares,KuCoin Shares,KCS
digibyte,DigiByte,DGB
ark,Ark,ARK
centrality,Centrality,CENNZ
pivx,PIVX,PIVX
dragonchain,Dragonchain,DRGN
mithril,Mithril,MITH
gas,Gas,GAS
aelf,aelf,ELF
cryptonex,Cryptonex,CNX
dentacoin,Dentacoin,DCN
substratum,Substratum,SUB
syscoin,Syscoin,SYS
qash,QASH,QASH
factom,Factom,FCT
pundi-x,Pundi X,NPXS
kyber-network,Kyber Network,KNC
veritaseum,Veritaseum,VERI
ethos,Ethos,ETHOS
