coin,price_action_open,price_action_close,price_action_high,price_action_low,price_action_volume,period_start_time_utc,period_end_time_utc,period_name,source_name
bitcoin,"$11,174.90 ","$11,440.70 ","$11,614.90 ","$10,989.20 ","$7,583,270,000.00 ",2018-01-27 00:00:00,2018-01-27 23:59:00,24 hours,coinmarketcap
bitcoin,"$11,256.00 ","$11,171.40 ","$11,656.70 ","$10,470.30 ","$9,746,200,000.00 ",2018-01-26 00:00:00,2018-01-26 23:59:00,24 hours,coinmarketcap
bitcoin,"$11,421.70 ","$11,259.40 ","$11,785.70 ","$11,057.40 ","$8,873,170,000.00 ",2018-01-25 00:00:00,2018-01-25 23:59:00,24 hours,coinmarketcap
bitcoin,"$10,903.40 ","$11,359.40 ","$11,501.40 ","$10,639.80 ","$9,940,990,000.00 ",2018-01-24 00:00:00,2018-01-24 23:59:00,24 hours,coinmarketcap
bitcoin,"$10,944.50 ","$10,868.40 ","$11,377.60 ","$10,129.70 ","$9,660,610,000.00 ",2018-01-23 00:00:00,2018-01-23 23:59:00,24 hours,coinmarketcap
bitcoin,"$11,633.10 ","$10,931.40 ","$11,966.40 ","$10,240.20 ","$10,537,400,000.00 ",2018-01-22 00:00:00,2018-01-22 23:59:00,24 hours,coinmarketcap
bitcoin,"$12,889.20 ","$11,600.10 ","$12,895.90 ","$11,288.20 ","$9,935,180,000.00 ",2018-01-21 00:00:00,2018-01-21 23:59:00,24 hours,coinmarketcap
bitcoin,"$11,656.20 ","$12,899.20 ","$13,103.00 ","$11,656.20 ","$11,801,700,000.00 ",2018-01-20 00:00:00,2018-01-20 23:59:00,24 hours,coinmarketcap
bitcoin,"$11,429.80 ","$11,607.40 ","$11,992.80 ","$11,172.10 ","$10,740,400,000.00 ",2018-01-19 00:00:00,2018-01-19 23:59:00,24 hours,coinmarketcap
bitcoin,"$11,198.80 ","$11,474.90 ","$12,107.30 ","$10,942.50 ","$15,020,400,000.00 ",2018-01-18 00:00:00,2018-01-18 23:59:00,24 hours,coinmarketcap
bitcoin,"$11,431.10 ","$11,188.60 ","$11,678.00 ","$9,402.29 ","$18,830,600,000.00 ",2018-01-17 00:00:00,2018-01-17 23:59:00,24 hours,coinmarketcap
bitcoin,"$13,836.10 ","$11,490.50 ","$13,843.10 ","$10,194.90 ","$18,853,800,000.00 ",2018-01-16 00:00:00,2018-01-16 23:59:00,24 hours,coinmarketcap
