source_name,source_type
Bitfinex,Exchange
Binance,Exchange
OKEx,Exchange
Huobi,Exchange
bitFlyer,Exchange
Upbit,Exchange
Bithumb,Exchange
Bitstamp,Exchange
BTCBOX,Exchange
GDAX,Exchange
HitBTC,Exchange
BTCC,Exchange
OEX,Exchange
Lbank,Exchange
Kraken,Exchange
BCEX,Exchange
EXX,Exchange
Bit-Z,Exchange
Simex,Exchange
CoinBene,Exchange
OOOBTC,Exchange
DragonEX,Exchange
Bittrex,Exchange
Neraex,Exchange
Coinhub,Exchange
RightBTC,Exchange
TOPBTC,Exchange
Bibox,Exchange
B2BX,Exchange
Bitbank,Exchange
CoinEgg,Exchange
CoinsBank,Exchange
Coinone,Exchange
Gemini,Exchange
Poloniex,Exchange
ZB.COM,Exchange
Livecoin,Exchange
Korbit,Exchange
Kucoin,Exchange
Tidex,Exchange
Gate.io,Exchange
CoinTiger,Exchange
Iquant,Exchange
Exmo,Exchange
YoBit,Exchange
IDAX,Exchange
itBit,Exchange
WEX,Exchange
LakeBTC,Exchange
Octaex,Exchange
Bitinka,Exchange
Cryptopia,Exchange
BitBay,Exchange
CEX.IO,Exchange
Qryptos,Exchange
Exrates,Exchange
Liqui,Exchange
xBTCe,Exchange
Omicrex,Exchange
Trade By Trade,Exchange
Fatbtc,Exchange
Coinroom,Exchange
Paribu,Exchange
Negocie Coins,Exchange
BtcTrade.im,Exchange
GOPAX,Exchange
Indodax,Exchange
BitMEX,Exchange
Zaif,Exchange
Fisco,Exchange
Quoine,Exchange
coinmarketcap,Website
